Mean_time	Mean_qlow	Mean_qup	Priors
t_n1053	97.723	89.66	105.7	0
t_n1054_Lamiales	83.085	76	93.12	ST(0.75,0.051,136.418,2.597)
t_n1055	76.813	69.19	86.62	0
t_n1056	74.308	66.2	84.31	0
t_n1057	64.887	56.41	74.87	0
t_n1058	60.347	52	70.71	0
t_n1059	58.927	50.59	69.11	0
t_n1060	57.801	49.61	67.76	0
t_n1061	57.169	48.99	67.08	0
t_n1062	54.737	46.11	64.69	0
t_n1063	46.537	34.61	57.01	0
t_n1064	44.43	31.51	55.08	0
t_n1065	33.984	20.83	47.1	0
t_n1066	44.951	23.93	58.32	0
t_n1067	55.148	46.68	65.18	0
t_n1068	51.828	42.63	62.02	0
t_n1069	46.996	36.21	57.78	0
t_n1070	58.016	48.35	68.81	0
t_n1071	46.737	29.03	60.03	0
t_n1072	56.727	45.5	68.24	0
t_n1073	52.104	39.27	64.74	0
t_n1074	40.988	18.09	63.24	0
t_n1075_Solanales	88.236	77.25	98.58	ST(0.55,0.11,279.88,3.006)
t_n1076	78.638	65.47	90.7	0
t_n1077	26.733	16.76	48.54	0
t_n1078	20.949	13.06	40.35	0
t_n1079	47.162	28.51	62.8	0
t_n1080	78.051	63.77	90.68	0
t_n1081	59.375	42.8	76.47	0
t_n1082	95.849	86.92	104.4	0
t_n1083_Gentianales	77.579	72.71	87.36	ST(0.725,0.04,317.366,1.821)
t_n1084	69.027	56.58	80.54	0
t_n1085	65.239	52.38	77.67	0
t_n1086	61.693	48.58	74.64	0
t_n1087	38.919	20.58	56.08	0
t_n1088	61.543	47	76.19	0
t_n1089	54.373	39.07	70.87	0
t_n1090_Boraginaceae	62.721	55.36	77.97	ST(0.55,0.109,710.583,3.412)
t_n1091	58.974	47.61	74.78	0
t_n1092	103.338	82.18	118.16	0
t_n1093_Garryales	77.465	65.56	98.51	ST(0.651,0.115,173.807,3.624)
t_n1094_Ericales	116.024	111.81	121.72	ST(1.14,0.097,8.567,2.848)
t_n1095	105.427	91.42	115.44	0
t_n1096	96.548	81.97	107.75	0
t_n1097	95.747	81.26	107.06	0
t_n1098	90.008	74.75	102.99	0
t_n1099	88.549	73.33	101.72	0
t_n1100	79.824	63.21	95.49	0
t_n1101	66.58	49.6	84.2	0
t_n1102	56.053	38.47	75.18	0
t_n1103	69.957	49.92	87.83	0
t_n1104	73.219	51.75	91.7	0
t_n1105	94.385	79.79	106.04	0
t_n1106_Primulaceae	87.139	72.78	100.11	ST(0.7,0.126,102.731,2.93)
t_n1107	69.078	53.84	84.1	0
t_n1108	53.905	39.02	70.19	0
t_n1109	37.336	21.77	53.79	0
t_n1110	80.512	53.24	99.32	0
t_n1111	86.967	65.1	102.54	0
t_n1112	10.721	0.08	37.53	0
t_n1113	66.678	46.75	89.1	0
t_n1114	59.206	38.72	82.24	0
t_n1115_Cornales	99.076	90.52	114.91	ST(0.902,0.078,28.513,3.729)
t_n1116	94.082	78.59	110.5	0
t_n1117	75.426	50.64	97.33	0
t_n1118	45.667	20.77	71.24	0
t_n1119	90.244	71.21	107.65	0
t_n1120_Caryophyllales	116.964	106.26	128.46	ST(0.895,0.139,11.741,3.001)
t_n1121	110.242	99.7	121.83	0
t_n1122	105.196	94.62	117.38	0
t_n1123	101.617	90.7	114.03	0
t_n1124	85.09	74.42	96.86	0
t_n1125	81.233	70.86	93.21	0
t_n1126	77.83	67.13	89.61	0
t_n1127	76.383	65.66	88.03	0
t_n1128	67.433	54.87	79.61	0
t_n1129	48.985	35.61	59.93	0
t_n1130	48.258	34.78	59.23	0
t_n1131	39.241	25.13	52.42	0
t_n1132	33.354	19.14	48.51	0
t_n1133	26.415	15.09	44.32	0
t_n1134	45.212	31.18	56.57	0
t_n1135	43.089	28.91	54.67	0
t_n1136	25.93	15.71	41.09	0
t_n1137	69.391	57.5	81.68	0
t_n1138	60.29	49.35	73.15	0
t_n1139	56.159	45.13	68.86	0
t_n1140	47.479	35.67	58.62	0
t_n1141_Nyctaginaceae	37.757	25.18	50.73	ST(0.175,0.098,353.5,3.326)
t_n1142	26.799	16.88	40.46	0
t_n1143	45.344	32.68	56.69	0
t_n1144	34.519	16.31	55.49	0
t_n1145	69.63	51.07	85.33	0
t_n1146	64.101	44.97	80.95	0
t_n1147_Amaranthaceae	39.919	19.83	61.74	ST(0.126,0.03,21.612,3)
t_n1148	35.72	17.84	56.53	0
t_n1149	70.379	45.9	93.13	0
t_n1150	109.266	97.98	121.16	0
t_n1151	103.184	91.1	116.19	0
t_n1152	80.987	65.88	97.21	0
t_n1153_Polygonaceae	40.978	35.26	54.98	ST(0.351,0.046,18.638,2.307)
t_n1154	28.64	17.11	45.22	0
t_n1155	53.648	35.48	73.67	0
t_n1156	54.38	33.16	76.8	0
t_n1157	89.24	71.86	105.87	0
t_n1158	71.049	51.65	90.82	0
t_n1159	55.635	37.6	76.87	0
t_n1160	18.538	5.65	32.94	0
t_n1161	80.789	60.05	99.78	0
t_n1162	48.116	16.36	116.79	0
t_n1163_Santalales	117.274	89.65	139.26	ST(0.736,0.108,10.859,3.449)
t_n1164	107.773	81.77	130.82	0
t_n1165	88.102	64.86	110.87	0
t_n1166	76.308	51.86	101.01	0
t_n1167	68.971	46.68	94.19	0
t_n1168	64.381	42.71	92.95	0
t_n1169	54.229	32.42	81.32	0
t_n1170	109.538	65.76	144.44	0
t_n1171_Buxaceae	50.468	31.26	83.92	ST(0.3,0.053,385.069,2.797)
t_n1172	44.128	24.37	76.02	0
t_n1173	15.185	4.79	24.98	0
t_n1174_Proteales	118.152	115.09	128.55	ST(1.15,0.025,325.746,3.553)
t_n1175	97.23	75.39	114.27	0
t_n1176_Proteaceae	70.156	65.13	86.9	ST(0.651,0.038,12.919,2.559)
t_n1177	32.386	17.28	52.01	0
t_n1178	75.643	45.61	102.79	0
t_n1179_Ranunculales	139.966	126.93	157.99	ST(1.15,0.076,574.125,2.308)
t_n1180	136.723	124.49	154.31	0
t_n1181	126.872	118.52	141.39	0
t_n1182_Menispermaceae	96.631	92.01	106.88	ST(0.925,0.036,4.382,2.831)
t_n1183_Ranunculaceae	82.11	68.09	95.27	ST(0.65,0.1,76.684,2.991)
t_n1184	66.18	50.14	82.38	0
t_n1185	58.322	41.96	76.04	0
t_n1186_Berberidaceae	51.174	47.55	59.2	ST(0.475,0.048,22.374,3.075)
t_n1187	54.226	30.92	76.74	0
t_n1188_Lardizabalaceae	122.032	116.2	134.44	ST(1.177,0.391,41.935,4.188)
t_n1189	66.211	40.26	98.9	0
t_n1190	55.4	28.51	87.45	0
t_n1191	89.288	55.54	118.86	0
t_n1192	78.193	46.8	109.1	0
t_n1193	169.928	153.26	187.48	0
t_n1194	154.871	139.55	171.91	0
t_n1195	133.809	121.07	147.94	0
t_n1196	125.346	112.8	139.28	0
t_n1197	121.22	108.33	135.09	0
t_n1198_Arecaceae	109.453	93.47	123.55	ST(0.889,0.04,3.358,6.699)
t_n1199	105.974	89.83	119.43	0
t_n1200_Poales	82.151	75.17	92.2	ST(0.725,0.073,152.76,7.459)
t_n1201_Poaceae	73.698	70.11	81.71	ST(0.7,0.112,243.296,3.272)
t_n1202	45.171	29.85	58.14	0
t_n1203	36.9	23.35	50.48	0
t_n1204	20.855	13.38	32.68	0
t_n1205_Typhaceae	72.532	65.07	83.8	ST(0.649,0.073,8.212,2.484)
t_n1206	52.352	31.91	69.42	0
t_n1207	96.807	74.79	110.32	0
t_n1208_Zingiberales	81.688	48.54	94.79	ST(0.894,0.076,6.699,2.768)
t_n1209	58.032	24.03	88.18	0
t_n1210	79.347	53.76	99.59	0
t_n1211	38.342	16.45	72.01	0
t_n1212_Asparagales	112.885	100.27	127.84	ST(0.7,0.125,480.96,3.111)
t_n1213	104.783	88.78	120.21	0
t_n1214	89.379	71.73	107.19	0
t_n1215	66.286	51.75	84.19	0
t_n1216	59.171	45.9	77.14	0
t_n1217	54.878	41.1	73.23	0
t_n1218	49.74	34.85	68.12	0
t_n1219	52.376	37.58	71.26	0
t_n1220	20.188	12.35	34.11	0
t_n1221_Orchidaceae	88.883	81.55	100.53	ST(0.847,0.631,31.109,9.444)
t_n1222	98.556	75.08	117.63	0
t_n1223	75.148	49.87	99.38	0
t_n1224	124.273	112.39	138.87	0
t_n1225_Pandanales	103.909	98.34	114.17	ST(0.999,0.178,15.179,3.416)
t_n1226_Alismatales	131.684	105.95	154.22	ST(0.825,0.07,274.653,3.588)
t_n1227	124.25	99.87	147.7	0
t_n1228	91.239	70.65	113.1	0
t_n1229	68.883	45.45	95.26	0
t_n1230	63.145	43.72	85.96	0
t_n1231	74.689	43.91	107.91	0
t_n1232_Araceae	83.877	72.87	115.41	ST(0.725,0.044,34.814,2.98)
t_n1233	57.79	37.5	82.89	0
t_n1234	49.236	26.4	74.33	0
t_n1235	176.001	153.94	196.2	0
t_n1236	155.381	138.11	178.15	0
t_n1237_Laurales	130.269	120.4	142.86	ST(1.15,0.073,528.2,8.591)
t_n1238	116.681	105.52	123.45	0
t_n1239_Lauraceae	112.408	100.25	117.7	ST(1.121,0.087,8.551,2.26)
t_n1240_Monimiaceae	108.354	94.44	115.23	ST(0.833,0.386,47.392,3.721)
t_n1241	90.87	61.23	106.97	0
t_n1242	78.131	51.65	99.42	0
t_n1243	95.2	59.38	110.15	0
t_n1244	98.125	82.99	112.33	0
