Mean_time	Mean_qlow	Mean_qup	Priors
t_n1032	93.413	60.04	117.27	0
t_n1033_Campanulaceae	54.572	22.95	99.96	ST(0.2,0.155,337.75,2.73)
t_n1034	45.054	14.78	88.13	0
t_n1035	32.486	5.33	74.39	0
t_n1036	18.191	0.54	57.02	0
t_n1037	25.276	1.11	71.25	0
t_n1038	72.421	27	105.14	0
t_n1039	51.133	9.88	92.19	0
t_n1040	27.987	1.04	73.25	0
t_n1041	104.617	74.92	124.65	0
t_n1042	87.669	51.64	115.52	0
t_n1043	61.766	15.56	101.1	0
t_n1044	33.725	1.4	79.09	0
t_n1045	61.783	15.41	101.04	0
t_n1046	33.72	1.38	79.15	0
t_n1047	72.032	19.8	110.34	0
t_n1048	39.265	1.77	90.63	0
t_n1049	116.212	101.74	130.76	0
t_n1050	109.61	95.24	124.52	0
t_n1051	104.115	89.88	119.51	0
t_n1052	99.191	84.29	115	0
t_n1053	92.852	78.69	108.23	0
t_n1054_Lamiales	85.036	75.63	101.97	ST(0.75,0.051,136.418,2.597)
t_n1055	81.566	71.49	98.92	0
t_n1056	78.462	66.48	95.65	0
t_n1057	75.479	59.83	92.61	0
t_n1058	71.984	53.5	88.66	0
t_n1059	67.542	45.4	83.3	0
t_n1060	62.663	37.37	79.13	0
t_n1061	57.257	31.15	75.93	0
t_n1062	48.477	21.9	72.55	0
t_n1063	37.342	10.94	66.88	0
t_n1064	26.371	4.2	56.18	0
t_n1065	14.789	0.46	41.05	0
t_n1066	26.12	1.3	60.47	0
t_n1067	44.055	14.79	71.52	0
t_n1068	30.852	5.45	62.85	0
t_n1069	17.214	0.57	47.91	0
t_n1070	51.067	12.6	77.67	0
t_n1071	27.69	1.12	68.45	0
t_n1072	54.079	13.76	80.44	0
t_n1073	29.314	1.2	70.98	0
t_n1074	45.642	2.8	83.22	0
t_n1075_Solanales	72.516	56.05	95.79	ST(0.55,0.11,279.88,3.006)
t_n1076	60.078	26.75	86.27	0
t_n1077	42.152	8.61	75.75	0
t_n1078	23.109	0.84	63.07	0
t_n1079	32.571	1.69	73.32	0
t_n1080	51.17	12.24	82.7	0
t_n1081	28.027	1.09	71.15	0
t_n1082	87.859	74.37	104.82	0
t_n1083_Gentianales	77.174	72.65	90.29	ST(0.725,0.04,317.366,1.821)
t_n1084	65.27	32.33	81.47	0
t_n1085	50.991	16.87	75.42	0
t_n1086	35.714	6.2	70.23	0
t_n1087	19.634	0.64	55.22	0
t_n1088	55.544	14.48	79.32	0
t_n1089	30.223	1.29	71.1	0
t_n1090_Boraginaceae	63.571	55.33	81.3	ST(0.55,0.109,710.583,3.412)
t_n1091	33.206	1.87	68.9	0
t_n1092	90.972	69.47	117.85	0
t_n1093_Garryales	71.889	65.31	89.66	ST(0.651,0.115,173.807,3.624)
t_n1094_Ericales	120.509	113.62	132.3	ST(1.14,0.097,8.567,2.848)
t_n1095	111.627	95.69	125.3	0
t_n1096	104.836	86.83	120.32	0
t_n1097	98.287	78.71	115.4	0
t_n1098	86.884	62.36	107.15	0
t_n1099	76.266	44.3	101.06	0
t_n1100	63.528	26.13	92.38	0
t_n1101	44.777	9.01	78.54	0
t_n1102	24.464	0.93	67.07	0
t_n1103	34.624	1.8	75.15	0
t_n1104	41.811	2.41	83.07	0
t_n1105	87.901	72.59	106.1	0
t_n1106_Primulaceae	77.617	70.23	94.08	ST(0.7,0.126,102.731,2.93)
t_n1107	61.428	24.12	83.43	0
t_n1108	43.176	8.61	74.74	0
t_n1109	23.501	0.85	62.44	0
t_n1110	48.377	3.02	92.16	0
t_n1111	72.542	20	107.49	0
t_n1112	39.551	1.79	89.65	0
t_n1113	79.82	22.54	118.55	0
t_n1114	43.303	2.06	97.94	0
t_n1115_Cornales	99.399	90.55	119.33	ST(0.902,0.078,28.513,3.729)
t_n1116	76.737	32.33	105.2	0
t_n1117	54.388	11.55	92.55	0
t_n1118	29.843	1.21	74.06	0
t_n1119	53.517	3.42	100.06	0
t_n1120_Caryophyllales	122.161	105.35	139.17	ST(0.895,0.139,11.741,3.001)
t_n1121	114.732	97.99	131.16	0
t_n1122	109.092	91.84	125.66	0
t_n1123	104.163	84.67	121.14	0
t_n1124	99.446	79.05	117.09	0
t_n1125	94.44	74.72	112.36	0
t_n1126	89.638	71.85	107.22	0
t_n1127	85.074	68.01	103.47	0
t_n1128	78.075	55.74	98.8	0
t_n1129	71.323	43.99	93.31	0
t_n1130	64.227	34.13	86.2	0
t_n1131	50.017	16.91	77.32	0
t_n1132	27.082	1.21	66.98	0
t_n1133	27.072	1.24	66.99	0
t_n1134	50.071	17.31	77.1	0
t_n1135	34.969	6.22	70.48	0
t_n1136	19.277	0.66	54.12	0
t_n1137	76.339	51.58	97.76	0
t_n1138	67.721	38.46	90.88	0
t_n1139	56.28	27.32	79.97	0
t_n1140	43.76	21.81	72.92	0
t_n1141_Nyctaginaceae	25.018	17.76	41.27	ST(0.175,0.098,353.5,3.326)
t_n1142	13.514	0.63	31.68	0
t_n1143	23.581	1.18	58.53	0
t_n1144	36.852	1.99	75.23	0
t_n1145	73.081	28	104.35	0
t_n1146	46.507	16.24	88.13	0
t_n1147_Amaranthaceae	15.843	12.67	24.91	ST(0.126,0.03,21.612,3)
t_n1148	8.112	0.38	19.74	0
t_n1149	55.86	3.61	104.09	0
t_n1150	107.926	80.73	128.14	0
t_n1151	89.511	57.99	117.39	0
t_n1152	69.865	39.57	102.56	0
t_n1153_Polygonaceae	39.848	35.15	53.82	ST(0.351,0.046,18.638,2.307)
t_n1154	21.218	1.1	41.81	0
t_n1155	37.897	2.08	81.19	0
t_n1156	48.588	2.91	97.81	0
t_n1157	90.069	55.43	117.79	0
t_n1158	70.092	25.12	104.18	0
t_n1159	49.419	9.36	90.53	0
t_n1160	27.079	0.93	72.5	0
t_n1161	48.853	2.97	98.43	0
t_n1162	64.19	4.13	123.52	0
t_n1163_Santalales	89.419	73.97	124.42	ST(0.736,0.108,10.859,3.449)
t_n1164	74.155	37.06	106.61	0
t_n1165	58.334	19.41	93.39	0
t_n1166	31.818	1.49	74.01	0
t_n1167	31.787	1.47	73.96	0
t_n1168	84.495	22.96	131.49	0
t_n1169	45.371	2.1	102.74	0
t_n1170	65.369	4.16	128.65	0
t_n1171_Buxaceae	35.651	30.17	52.26	ST(0.3,0.053,385.069,2.797)
t_n1172	19.095	1	39.31	0
t_n1173	66.073	4.3	130.12	0
t_n1174_Proteales	117.867	115.09	126.12	ST(1.15,0.025,325.746,3.553)
t_n1175	89.318	68.27	115.94	0
t_n1176_Proteaceae	68.597	65.07	77.81	ST(0.651,0.038,12.919,2.559)
t_n1177	35.895	2.01	69.02	0
t_n1178	60.95	3.82	113.41	0
t_n1179_Ranunculales	133.912	121.75	149.33	ST(1.15,0.076,574.125,2.308)
t_n1180	129.719	119.13	144.89	0
t_n1181	126.23	117.74	141.07	0
