Mean_time	Mean_qlow	Mean_qup	Priors
t_n1163_Santalales	99.708	74.44	115.8	B(0.73,1.15,0.025,0.025)
t_n1164	81.037	45.73	109.72	0
t_n1165	64.167	23.59	98.32	0
t_n1166	36.951	1.85	78.86	0
t_n1167	37.036	1.87	79.05	0
t_n1168	86.869	25.94	130.17	0
t_n1169	47.999	2.57	106.51	0
t_n1170	67.862	4.88	128.84	0
t_n1171_Buxaceae	41.386	29.96	52.97	B(0.3,0.53,0.025,0.025)
t_n1172	22.588	1.19	48.06	0
t_n1173	68.234	4.98	129.56	0
t_n1174_Proteales	119.774	115.05	124.04	B(1.15,1.24,0.025,0.025)
t_n1175	93.408	68.61	119.33	0
t_n1176_Proteaceae	71.565	64.74	81.7	B(0.65,0.82,0.025,0.025)
t_n1177	41.164	2.63	72.85	0
t_n1178	62.805	4.44	116.36	0
t_n1179_Ranunculales	135.095	122.35	149.17	B(1.15,1.56,0.025,0.025)
t_n1180	127.602	115.94	138.49	0
t_n1181	123.169	111.08	134.33	0
t_n1182_Menispermaceae	100.118	92.14	107.08	B(0.92,1.07,0.025,0.025)
t_n1183_Ranunculaceae	82.102	64.77	102.27	B(0.65,1.05,0.025,0.025)
t_n1184	59.31	17.26	92.08	0
t_n1185	34.349	1.5	74.14	0
t_n1186_Berberidaceae	56.376	47.88	65.86	B(0.48,0.66,0.025,0.025)
t_n1187	55.306	3.97	98.91	0
t_n1188_Lardizabalaceae	118.647	106.1	130.18	B(1.19,2.53,0.025,0.025)
t_n1189	79.764	24.21	118.85	0
t_n1190	44.686	2.34	97.05	0
t_n1191	84.723	25.61	127.77	0
t_n1192	47.004	2.3	103.48	0
t_n1193	132.766	120.25	148.1	0
t_n1194	127.543	115.01	140.4	0
t_n1195	123.492	110.41	135.34	0
t_n1196	117.78	103.27	131.08	0
t_n1197	111.773	98.99	125.84	0
t_n1198_Arecaceae	98.565	92.91	101.48	B(0.88,1.01,0.025,0.025)
t_n1199	96.17	90.36	100.7	0
t_n1200_Poales	86.354	74.86	93.34	B(0.73,0.93,0.025,0.025)
t_n1201_Poaceae	77.866	68.59	90.31	B(0.7,1.14,0.025,0.025)
t_n1202	62.366	28.02	83.4	0
t_n1203	45.862	9.63	73.89	0
t_n1204	26.406	1	62.64	0
t_n1205_Typhaceae	73.681	64.15	89.15	B(0.65,1,0.025,0.025)
t_n1206	42.41	2.72	77.07	0
t_n1207	93.778	88.39	99.51	0
t_n1208_Zingiberales	91.015	86.7	97.05	B(0.89,1.23,0.025,0.025)
t_n1209	50.84	3.49	88.48	0
t_n1210	52.287	3.62	91.98	0
t_n1211	54.763	3.86	96.93	0
t_n1212_Asparagales	104.217	87.59	119.18	B(0.7,1.2,0.025,0.025)
t_n1213	92.285	66.81	113.55	0
t_n1214	81.791	53.97	105.68	0
t_n1215	72.043	43.59	97.94	0
t_n1216	62.617	31.45	90.06	0
t_n1217	45.848	10.12	77.36	0
t_n1218	26.385	1.03	63.89	0
t_n1219	45.933	10.21	77.75	0
t_n1220	26.452	1.01	63.8	0
t_n1221_Orchidaceae	91.607	73.31	111.2	B(0.86,2.61,0.025,0.025)
t_n1222	79.518	24.29	119.63	0
t_n1223	44.599	2.19	97.19	0
t_n1224	115.111	100.31	130.12	0
t_n1225_Pandanales	106.799	96.29	122.88	B(1,1.69,0.025,0.025)
t_n1226_Alismatales	100.031	84.54	110.46	B(0.83,1.1,0.025,0.025)
t_n1227	84.368	53.81	106.16	0
t_n1228	66.697	27.29	97.39	0
t_n1229	38.411	2.01	79.42	0
t_n1230	38.416	2	79.22	0
t_n1231	47.815	3	91.82	0
t_n1232_Araceae	81.37	73.01	89.97	B(0.73,0.9,0.025,0.025)
t_n1233	59.11	17.45	84.05	0
t_n1234	34.257	1.56	71.14	0
t_n1235	138.309	127.91	150.57	0
t_n1236	133.731	124.77	147.36	0
t_n1237_Laurales	127.885	118.08	134.95	B(1.15,1.35,0.025,0.025)
t_n1238	123.201	113.57	132.68	0
t_n1239_Lauraceae	118.039	110.37	129.19	B(1.12,1.59,0.025,0.025)
t_n1240_Monimiaceae	101.454	80.8	121.91	B(0.85,2.27,0.025,0.025)
t_n1241	55.569	3.87	103.99	0
t_n1242	55.541	3.87	103.94	0
t_n1243	62.127	4.37	115.13	0
t_n1244	107.259	83.37	127.4	0
t_n1245_Atherospermataceae	93.161	77.32	118.48	B(0.8,1.53,0.025,0.025)
