Mean_time	Mean_qlow	Mean_qup	Priors
t_n1113	81.75	24.3	121.13	0
t_n1114	45.503	2.24	100	0
t_n1115_Cornales	107.768	91.39	119.56	B(0.9,1.2,1e-300,1e-300)
t_n1116	82.076	38.86	113.71	0
t_n1117	58.497	13.34	98.94	0
t_n1118	33.552	1.3	78.43	0
t_n1119	58.154	4.01	108.04	0
t_n1120_Caryophyllales	123.296	112.81	128.8	B(0.89,1.47,1e-300,1e-300)
t_n1121	118.326	101.92	127.33	0
t_n1122	113.415	95.64	125.49	0
t_n1123	108.538	89.91	123.18	0
t_n1124	103.548	83.38	120.41	0
t_n1125	98.234	77.81	117.01	0
t_n1126	93.173	71.84	112.85	0
t_n1127	88.309	66.91	108.05	0
t_n1128	80.362	57.21	101.61	0
t_n1129	72.762	48.65	96.36	0
t_n1130	65.489	39.52	90.01	0
t_n1131	52.64	19.9	80.09	0
t_n1132	30.488	1.54	65.64	0
t_n1133	30.435	1.51	65.46	0
t_n1134	52.604	19.6	79.98	0
t_n1135	38.545	7.2	68.51	0
t_n1136	22.169	0.74	55.82	0
t_n1137	78.727	55.11	100.77	0
t_n1138	69.737	44.99	94.32	0
t_n1139	59.423	33.39	84.37	0
t_n1140	49.029	23.96	74.17	0
t_n1141_Nyctaginaceae	32.709	18.64	53.11	B(0.18,0.56,1e-300,1e-300)
t_n1142	17.876	0.84	44.26	0
t_n1143	28.042	1.44	60.44	0
t_n1144	40.141	2.44	78.16	0
t_n1145	75.835	34.89	109.13	0
t_n1146	50.076	19.37	91.6	0
t_n1147_Amaranthaceae	19.093	13.31	24.73	B(0.13,0.25,1e-300,1e-300)
t_n1148	9.858	0.46	22.77	0
t_n1149	58.457	4.09	108.69	0
t_n1150	111.779	84.79	126.4	0
t_n1151	92.534	58.58	120.71	0
t_n1152	71.763	43.28	106.73	0
t_n1153_Polygonaceae	45.137	35.45	56.3	B(0.35,0.57,1e-300,1e-300)
t_n1154	24.804	1.32	50.51	0
t_n1155	40.784	2.43	85.17	0
t_n1156	51.336	3.36	100.55	0
t_n1157	93.093	56.51	120.89	0
t_n1158	72.26	29.88	108.75	0
t_n1159	52.153	10.89	93.47	0
t_n1160	30.073	1.16	71.41	0
t_n1161	51.401	3.3	101.22	0
t_n1162	66.501	4.94	124.4	0
t_n1163_Santalales	99.368	75.36	114.46	B(0.73,1.15,1e-300,1e-300)
t_n1164	80.956	46.12	108.81	0
t_n1165	63.841	23.69	98.15	0
t_n1166	36.617	1.86	79.32	0
t_n1167	36.759	1.86	79.01	0
t_n1168	86.691	26.64	127.34	0
t_n1169	47.716	2.43	106.65	0
t_n1170	67.787	4.81	126.57	0
t_n1171_Buxaceae	41.218	30.55	52.37	B(0.3,0.53,1e-300,1e-300)
t_n1172	22.663	1.12	47.55	0
t_n1173	67.957	4.92	126.95	0
t_n1174_Proteales	119.789	115.27	123.82	B(1.15,1.24,1e-300,1e-300)
t_n1175	94.133	68.7	119.68	0
t_n1176_Proteaceae	71.765	65.22	81.31	B(0.65,0.82,1e-300,1e-300)
t_n1177	41.16	2.77	73.13	0
t_n1178	63.164	4.55	116.77	0
t_n1179_Ranunculales	134.424	124.53	148.52	B(1.15,1.56,1e-300,1e-300)
t_n1180	127.325	121.35	136.37	0
t_n1181	124.817	119.83	129.42	0
t_n1182_Menispermaceae	100.068	92.52	106.7	B(0.92,1.07,1e-300,1e-300)
t_n1183_Ranunculaceae	82.575	65.62	101.99	B(0.65,1.05,1e-300,1e-300)
t_n1184	59.186	17.2	92.33	0
t_n1185	34.076	1.51	74.91	0
t_n1186_Berberidaceae	56.558	48.38	65.46	B(0.48,0.66,1e-300,1e-300)
t_n1187	54.977	3.69	98.82	0
t_n1188_Lardizabalaceae	122.218	119.1	128.02	B(1.19,2.53,1e-300,1e-300)
t_n1189	82.048	25.02	120.53	0
