Mean_time	Mean_qlow	Mean_qup	Priors
t_n1117	78.839	49.99	102.36	0
t_n1118	45.908	20.3	75.6	0
t_n1119	96.19	73.52	112.64	0
t_n1120_Caryophyllales	110.542	102.55	118.79	B(0.89,1.47,0.025,0.025)
t_n1121	104.398	95.92	113.36	0
t_n1122	99.93	90.73	109.1	0
t_n1123	96.199	86.21	105.35	0
t_n1124	79.844	69.38	89.74	0
t_n1125	76.319	65.79	86.29	0
t_n1126	73.083	62.57	83.05	0
t_n1127	71.762	61.26	81.68	0
t_n1128	63.153	50.68	74.22	0
t_n1129	45.781	31.6	56.47	0
t_n1130	45.077	30.87	55.84	0
t_n1131	35.906	23.62	49.46	0
t_n1132	30.038	18.49	45.56	0
t_n1133	24.618	15.64	41.14	0
t_n1134	42.179	27.82	53.08	0
t_n1135	40.175	25.98	51.4	0
t_n1136	24.536	15.94	38.38	0
t_n1137	65.276	53.52	76.14	0
t_n1138	56.881	45.76	68.49	0
t_n1139	53.123	41.53	64.95	0
t_n1140	44.969	31.07	56.28	0
t_n1141_Nyctaginaceae	35.753	21.66	49.51	B(0.18,0.56,0.025,0.025)
t_n1142	25.806	15.77	39.91	0
t_n1143	42.861	27.76	54.29	0
t_n1144	32.193	17.07	52.34	0
t_n1145	61.85	44.4	78.33	0
t_n1146	55.744	36.89	74.04	0
t_n1147_Amaranthaceae	17.551	13.35	24.79	B(0.13,0.25,0.025,0.025)
t_n1148	16.178	11.65	23.45	0
t_n1149	66.471	43.34	86.82	0
t_n1150	103.625	94.61	113.1	0
t_n1151	98.128	87.4	108.29	0
t_n1152	77.858	64.06	92.21	0
t_n1153_Polygonaceae	44.824	34.93	56.7	B(0.35,0.57,0.025,0.025)
t_n1154	31.573	18.36	49.12	0
t_n1155	51.737	32.59	70.65	0
t_n1156	51.948	29.62	73.75	0
t_n1157	84.264	67.79	100.24	0
t_n1158	67.093	48.74	85.48	0
t_n1159	52.583	34.26	72.52	0
t_n1160	17.825	3.32	32.75	0
t_n1161	75.941	56.14	94.66	0
t_n1162	49.133	17.38	113.83	0
