Mean_time	Mean_qlow	Mean_qup	Priors
t_n964_Apiales	98.614	96.14	102.83	B(0.96,1.59,1e-300,1e-300)
t_n965_Torricelliaceae	88.371	81.28	95.35	B(0.61,1.69,1e-300,1e-300)
t_n966	85.557	79.19	92.47	0
t_n967	79.976	75.51	86.4	0
t_n968_Araliaceae	77.449	73.96	83.31	B(0.73,0.94,1e-300,1e-300)
t_n969	76.626	73.54	82.37	0
t_n970_Apiaceae	75.455	73.07	81.01	B(0.73,1.28,1e-300,1e-300)
t_n971	65.442	54.36	74.39	0
t_n972	56.386	45.08	66.58	0
t_n973	46.936	35.45	58.23	0
t_n974	29.034	21.34	39.59	0
t_n975	23.271	16.4	31.45	0
t_n976	16.011	5.88	23.89	0
t_n977	16.545	5.41	24.6	0
t_n978	38.236	17.3	57.92	0
t_n979	67.38	46.53	78.33	0
t_n980	23.231	9.54	48.36	0
t_n981	37.646	23.42	61.51	0
t_n982	23.602	18.78	29.63	0
t_n983	22.464	17.9	27.89	0
t_n984	21.37	16.98	26.41	0
t_n985	20.282	15.77	25.29	0
t_n986	18.851	14.13	24.02	0
t_n987	19.615	15.3	24.52	0
t_n988	18.242	13.75	23.35	0
t_n989	20.087	14.16	26.37	0
t_n990_Pittosporaceae	49.944	43.18	64.61	B(0.43,1.11,1e-300,1e-300)
t_n991	46.769	20.41	77.21	0
t_n992	42.755	17.94	73.19	0
t_n993	93.529	74.12	102.4	0
t_n994	47.678	19.33	78.8	0
t_n995	16.553	3.13	34.95	0
t_n996	96.71	78.31	104.41	0
t_n997	89.415	65.66	100.71	0
t_n998	82.782	58.56	97.52	0
t_n999	23.134	8.99	43.61	0
t_n1000	14.73	2.96	26.81	0
t_n1001	87.004	51.43	101.08	0
t_n1002_Asterales	69.211	67.18	69.98	B(0.43,0.7,1e-300,1e-300)
t_n1003	67.997	65.25	69.6	0
t_n1004	65.24	61.95	67.84	0
t_n1005	64.758	61.4	67.47	0
t_n1006	61.545	58.12	64.83	0
t_n1007	56.488	53.47	60.05	0
t_n1008_Asteraceae	52.579	51.05	55.81	B(0.51,0.96,1e-300,1e-300)
t_n1009	49.94	45.26	53.82	0
t_n1010	40.84	31.46	47.87	0
t_n1011	36.243	27.26	44.43	0
t_n1012	30.021	23	38.37	0
t_n1013	20.476	14.09	26.95	0
t_n1014	18.536	10.37	24.81	0
t_n1015	24.432	18.16	32.4	0
t_n1016	19.499	11.99	26.52	0
t_n1017	29.047	18.41	44.77	0
t_n1018	20.655	10.3	33.88	0
t_n1019	44.568	35.38	51.86	0
t_n1020	24.079	16.37	34.76	0
t_n1021_Menyanthaceae	44.652	35.81	55.07	B(0.35,0.57,1e-300,1e-300)
t_n1022	20.733	5.14	38.45	0
t_n1023	23.14	14.36	36.71	0
t_n1024	56.786	45.16	64.05	0
t_n1025	36.578	19.6	52.29	0
t_n1026	61.329	52.69	66.17	0
t_n1027	34.6	20.29	52.34	0
t_n1028	28.839	17.19	47.95	0
t_n1029	17.121	5.03	29.67	0
t_n1030	57.89	46.57	64.86	0
t_n1031	23.412	13.31	41.78	0
t_n1032	63.805	58.45	67.44	0
t_n1033_Campanulaceae	51.655	41.72	59.5	B(0.21,0.92,1e-300,1e-300)
t_n1034	47.984	38.24	56.1	0
t_n1035	42.931	31	52.13	0
t_n1036	22.064	13.41	33.43	0
t_n1037	25.219	15.85	39.54	0
t_n1038	54.318	42.63	62.71	0
t_n1039	36.969	20.85	51.88	0
t_n1040	17.877	5.54	29.57	0
t_n1041	101.782	86.46	110.55	0
t_n1042	85.601	62.11	101.86	0
t_n1043	70.614	46.61	94.92	0
t_n1044	60.107	29.55	88.04	0
t_n1045	28.815	16.29	53.11	0
t_n1046	18.335	5.34	33.44	0
t_n1047	65.294	43	89.54	0
t_n1048	55.479	32.87	80.44	0
t_n1049	110.797	105.74	115.03	0
t_n1050	109.502	104.03	114.12	0
t_n1051	101.135	94.82	106.5	0
t_n1052	98.262	91.02	103.59	0
t_n1053	96.632	89.29	102.09	0
t_n1054_Lamiales	84.817	76.18	93.8	B(0.75,0.99,1e-300,1e-300)
t_n1055	77.583	67.34	87.17	0
t_n1056	74.904	64.58	84.55	0
t_n1057	64.544	54.76	74.06	0
t_n1058	59.971	50.52	68.99	0
t_n1059	58.534	49.18	67.54	0
t_n1060	57.368	48.1	66.39	0
t_n1061	56.689	47.45	65.82	0
t_n1062	54.065	44.12	63.81	0
t_n1063	45.301	30.95	56.59	0
t_n1064	43.093	28.31	54.76	0
t_n1065	32.246	19.38	46.84	0
t_n1066	43.802	22.08	58.27	0
t_n1067	54.702	45.07	64.28	0
t_n1068	51.106	40.9	61.59	0
t_n1069	46.273	34.34	57.55	0
t_n1070	57.573	46.48	67.38	0
t_n1071	46.017	26.09	60.37	0
t_n1072	56.447	44	67.59	0
t_n1073	51.447	37.07	64.32	0
t_n1074	39.599	17.95	64.29	0
t_n1075_Solanales	88.293	76.46	96.58	B(0.56,1.02,1e-300,1e-300)
t_n1076	78.373	62.7	89.89	0
t_n1077	27.16	17.61	48.7	0
t_n1078	21.489	12.65	40.58	0
t_n1079	45.497	24.61	63.31	0
t_n1080	78.16	62.52	89.84	0
t_n1081	59.349	41.65	77.01	0
t_n1082	94.917	86.66	100.93	0
t_n1083_Gentianales	79.579	73.29	89.84	B(0.73,1,1e-300,1e-300)
t_n1084	69.896	56.34	82.84	0
t_n1085	66.185	52.17	79.72	0
t_n1086	62.571	48.25	77.12	0
t_n1087	38.526	20.14	57.03	0
t_n1088	62.287	45.53	78.44	0
t_n1089	54.61	37.51	71.96	0
t_n1090_Boraginaceae	65.362	55.61	83.24	B(0.55,0.97,1e-300,1e-300)
t_n1091	61.511	48.2	80.01	0
t_n1092	101.252	82.98	111.85	0
t_n1093_Garryales	81.865	65.51	100.38	B(0.65,1.08,1e-300,1e-300)
