Mean_time	Mean_qlow	Mean_qup	Priors
t_n925	118.406	116.27	120.71	0
t_n926	113.635	109.67	117.02	0
t_n927	110.874	106.6	114.83	0
t_n928	104.709	101.04	108.97	0
t_n929	103.663	100.29	107.91	0
t_n930	102.742	99.65	106.96	0
t_n931	101.929	98.98	106.05	0
t_n932	100.34	97.61	104.37	0
t_n933_Dipsacales	96.103	95.03	98.79	B(0.95,1.38,1e-300,1e-300)
t_n934	71.674	59.48	84.05	0
t_n935	69.132	57.41	81.2	0
t_n936	62.045	51.44	73.74	0
t_n937	59.41	49.41	70.18	0
t_n938	55.888	46.11	66.44	0
t_n939	49.296	39.07	60.11	0
t_n940	42.349	31.42	53.07	0
t_n941	32.714	23.38	44.27	0
t_n942	21.461	14.13	31.37	0
t_n943	21.186	13.99	30.71	0
t_n944	45.719	31.28	58.46	0
t_n945	27.277	18.35	42.44	0
t_n946	20.828	12.37	33.28	0
t_n947	51.855	38.45	64.62	0
t_n948	35.863	21.86	51.58	0
t_n949	22.649	13.63	37.94	0
t_n950	21.159	9.8	30.02	0
t_n951	18.355	6.84	25.87	0
t_n952	15.43	3.97	23.14	0
t_n953	60.767	42.3	76.67	0
t_n954	24.464	17.54	36.9	0
t_n955	22.113	15.82	32.69	0
t_n956	19.042	11.99	27.83	0
t_n957	32.091	11.69	64.87	0
t_n958_Adoxaceae	83.526	78.2	92.02	B(0.78,1.1,1e-300,1e-300)
t_n959	45.63	24.33	68.94	0
t_n960	25.083	15.34	43.08	0
t_n961	18.264	7.01	29.44	0
t_n962	76.804	40.48	97.92	0
t_n963	55.663	19.53	89.3	0
t_n964_Apiales	98.614	96.14	102.84	B(0.96,1.59,1e-300,1e-300)
t_n965_Torricelliaceae	88.382	81.28	95.38	B(0.61,1.69,1e-300,1e-300)
t_n966	85.563	79.18	92.48	0
t_n967	79.995	75.51	86.39	0
t_n968_Araliaceae	77.468	73.97	83.31	B(0.73,0.94,1e-300,1e-300)
t_n969	76.648	73.55	82.39	0
t_n970_Apiaceae	75.471	73.07	81.03	B(0.73,1.28,1e-300,1e-300)
t_n971	65.441	54.36	74.42	0
t_n972	56.389	45.13	66.61	0
t_n973	46.91	35.44	58.23	0
t_n974	28.95	21.3	39.44	0
t_n975	23.201	16.63	31.19	0
t_n976	16.056	5.99	23.62	0
t_n977	16.588	5.49	24.5	0
t_n978	38.211	17.18	57.94	0
t_n979	67.379	46.49	78.31	0
t_n980	23.144	9.82	48.38	0
t_n981	37.521	23.29	61.42	0
t_n982	23.461	18.71	29.48	0
t_n983	22.307	17.85	27.77	0
t_n984	21.186	16.93	26.33	0
t_n985	20.073	15.74	25.24	0
t_n986	18.608	14.11	23.92	0
t_n987	19.384	15.26	24.44	0
t_n988	17.989	13.73	23.02	0
t_n989	19.906	14.18	26.3	0
t_n990_Pittosporaceae	50.002	43.18	64.68	B(0.43,1.11,1e-300,1e-300)
t_n991	46.818	20.29	77.25	0
t_n992	42.803	17.83	73.34	0
t_n993	93.532	74.18	102.38	0
t_n994	47.653	19.22	78.75	0
t_n995	16.688	3.16	34.79	0
t_n996	96.679	78.15	104.38	0
t_n997	89.379	65.48	100.69	0
t_n998	82.739	58.38	97.53	0
t_n999	23.148	9.31	43.55	0
t_n1000	14.877	3.04	26.75	0
t_n1001	86.971	51.45	101.07	0
t_n1002_Asterales	69.212	67.19	69.98	B(0.43,0.7,1e-300,1e-300)
t_n1003	67.996	65.24	69.59	0
t_n1004	65.241	61.94	67.83	0
t_n1005	64.76	61.41	67.46	0
t_n1006	61.548	58.13	64.83	0
t_n1007	56.486	53.48	60.04	0
t_n1008_Asteraceae	52.571	51.05	55.79	B(0.51,0.96,1e-300,1e-300)
t_n1009	49.925	45.23	53.79	0
t_n1010	40.757	31.32	47.8	0
t_n1011	36.135	27.14	44.43	0
t_n1012	29.874	22.93	38.27	0
t_n1013	20.303	14.29	26.86	0
t_n1014	18.342	10.6	24.77	0
t_n1015	24.293	18.09	32.23	0
t_n1016	19.365	12.14	26.45	0
t_n1017	28.893	18.35	44.68	0
t_n1018	20.536	10.37	33.76	0
t_n1019	44.563	35.37	51.85	0
t_n1020	24.028	16.33	34.71	0
t_n1021_Menyanthaceae	44.656	35.8	55.05	B(0.35,0.57,1e-300,1e-300)
t_n1022	20.728	5.24	38.3	0
t_n1023	23.06	14.47	36.64	0
t_n1024	56.779	45.11	64.06	0
t_n1025	36.587	19.42	52.29	0
t_n1026	61.338	52.72	66.17	0
t_n1027	34.604	20.19	52.39	0
t_n1028	28.8	17.14	47.94	0
t_n1029	17.178	5.1	29.55	0
t_n1030	57.912	46.61	64.88	0
